,year,Private,Public,MaxPellGrant,EdApprPerFTE
,1988,17010,3360,4545,
,1989,17540,3440,4526,
,1990,18050,3690,4318,
,1991,18150,3900,4313,
,1992,18740,4180,4181,8301
,1993,19210,4430,3899,8016
,1994,19900,4600,3794,8121
,1995,20190,4640,3756,8386
,1996,20850,4780,3851,8476
,1997,21650,4880,4118,8794
,1998,22710,5020,4500,9082
,1999,23460,5080,4589,9318
,2000,23440,5120,4675,9281
,2001,24680,5350,5172,9540
,2002,25270,5740,5437,9192
,2003,25970,6370,5391,8511
,2004,26680,6830,5234,7951
,2005,27060,7080,5074,7887
,2006,27630,7180,4872,8281
,2007,28330,7490,5065,8489
,2008,28440,7560,5265,8641
,2009,30120,8270,6081,8078
,2010,30940,8820,6232,7506
,2011,31100,9240,6013,7180
,2012,31890,9510,5930,6525
,2013,32500,9590,5915,6658
,2014,33090,9680,5887,6987
,2015,34150,9960,5923,7336
,2016,35080,10130,5915,7453
,2017,35720,10270,5920,7642